Numero d'inventario;Autore;Titolo;Data;Materia e tecnica;Dimensioni;Descrizione;Percorso
Q 36;Masaccio;La crocifissione;1426;Tempera e oro su tavola;Misure senza cornice: 83x65x5,5 cm Misure con cornice: 98x78,5x12,6 cm;"La tavola fu acquistata nel 1901, in seguito a una lunga trattativa condotta con un privato che ne dichiarava la proprietà tra le raccolte di famiglia, e destinata al patrimonio del Museo Nazionale di Napoli. Già apprezzata come opera di ignoto fiorentino, venne nel 1906 ricondotta da Wilhelm Suida alla produzione di Masaccio: si trattava della cimasa del polittico commissionato nel 1426 al pittore da ser Giuliano di Colino di Pietro degli Scarsi, per la cappella dedicata a san Giuliano nella chiesa carmelitana di Pisa. L’opera venne smembrata alla fine del Cinquecento. La composizione si realizza tutta nella definizione delle quattro figure rappresentate sul Golgota: la Madonna, di profilo a sinistra, vestita di azzurro, con le dita serrate e legate nel suo dolore; san Giovanni, sul lato opposto, accentua lo spasimo della sofferenza che culmina nelle mani giunte; la Maddalena di spalle in primo piano manifesta il dolore allargando le braccia verso la croce; infine, Cristo crocifisso, rappresentato nell’abbandono di un corpo privo di vita, reso naturale grazie a una prospettiva molto scorciata. Nonostante il persistere del fondo oro – impiegato su richiesta del committente – vi è un’innovativa saldezza dei volumi sui quali Masaccio disegna la luce. Si tratta di un linguaggio privo di retorica che ridefinisce i canoni della rappresentazione sacra: il senso drammatico è reso in una composizione nella quale non vi è nulla in più di quel che è necessario. L’opera è esposta per documentare il Rinascimento toscano e l’attività di quegli artisti dai quali prese avvio il nuovo linguaggio pittorico, in grado di rielaborare morfologie e temi dell’antichità, razionalizzare lo spazio – anche grazie allo studio analitico della prospettiva – e promuovere, infine, un più rigoroso studio della figura umana.";1 - Q 36 Masaccio_Crocifissione_ph.L.Romano_0779
Q 56;Giovanni Bellini;La Trasfigurazione;1478-1479;Olio su tavola ;Misure senza cornice: 115x152 cm misure con cornice: 150x185x10 cm;La Trasfigurazione, uno dei vertici della collezione di Capodimonte e del corpus belliniano, è stata identificata con la pala d’altare commissionata da Alberto Fioccardo per la cappella di famiglia nel duomo di Vicenza, di cui era arciprete. Nel 1613 la cappella venne trasformata per ospitare le reliquie dei santi patroni vicentini, e probabilmente, in quella occasione, la pala venne rimossa. L’opera è menzionata negli inventari della famiglia Farnese sin dal XVII secolo, sebbene non siano note le circostanze di acquisizione. Seguì le vicende del patrimonio farnesiano, prima con il trasferimento da Roma a Parma, e poi a Napoli nel XVIII secolo. La datazione della tavola si ricava dalla presenza della cifra 5239, in ebraico, su entrambi i cartigli retti dai profeti Mosè ed Elia. Tale anno del calendario ebraico corrisponde, in quello romano, al periodo tra il settembre-ottobre 1478 e gli stessi mesi del 1479, confermando quanto già intuito dalla critica in base all’analisi stilistica. Bellini aveva già trattato il tema della Trasfigurazione di Cristo in una versione giovanile, nella quale è ancora evidente l’influenza mantegnesca. Questa seconda versione si caratterizza per un’inusuale composizione della scena, più libera ma sapientemente equilibrata, in cui trovano posto edifici monumentali, episodi di vita contadina e un campionario di varietà botaniche, dispiegato soprattutto in primo piano. La figura monumentale di Cristo, nella posa bizantina dell’orante e avvolto in candide vesti, e dal quale pare irradiarsi una calda luce dorata, dona alla rappresentazione un’atmosfera di solenne spiritualità. Il confronto con altre opere dello stesso autore permette di apprezzare l’evoluzione del suo stile, in particolare nella resa del paesaggio, di cui diventerà uno straordinario interprete.;2 - Giovanni Bellini_Trasfigurazione_ph.L.Romano_0738
Q 20;Colantonio;San Girolamo;1445-1450;Olio su tavola;Misure senza cornice: 125x150,4x6 cm Misure con cornice: 152x177x14,5 cm;Collocato nella tribuna della chiesa francescana di San Lorenzo Maggiore, il dipinto formava, insieme al San Francesco che dona la regola al primo e secondo ordine francescano, il polittico che ornava l’altare di san Girolamo, databile intorno alla metà del Quattrocento. Completavano il retablo due pilastrini laterali con Beati francescani, successivamente dispersi e confluiti in collezioni private. L’opera è una mirabile sintesi della vita di san Girolamo: identificato come santo grazie all’aureola e come padre della Chiesa per il galero cardinalizio poggiato in basso a sinistra, è anche rappresentato, pur essendo vissuto tra il IV e il V secolo d.C., con indosso un saio marrone francescano, richiamo all’ordine mendicante insediatosi nella chiesa di San Lorenzo di Napoli. San Girolamo tradusse la Bibbia nella moderna Vulgata, e a tale impresa allude l’interno in cui è collocato il santo: uno studiolo in cui libri e suppellettili sono disposti in quello che risulta il rifugio di un intellettuale. Ogni oggetto è trattato con una sorprendente capacità mimetica, dai libri agli oggetti per la scrittura, fino al topolino in basso a destra che rosicchia un pezzetto di carta. L’episodio saliente della sua agiografia, l’incontro col leone nel deserto al quale cura una zampa ferita da una spina, è rappresentato dall’artista in questo interno umanistico. È la cultura fiamminga a orientare l’opera, sotto l’influenza di maestri attivi a Napoli presso la corte angioina. L’identificazione di Colantonio come autore della tavola, in passato messa in dubbio, è stata confermata grazie a una testimonianza coeva che la cita come capolavoro del maestro. Con la soppressione monastica dell’inizio dell’Ottocento, la tavola entra nelle collezioni museali.;3 - Colantonio_San Girolamo nello studio_Capodimonte_ph.L.Romano_2359
Q 58;Jacopo de' Barbari, attr.;Ritratto di Luca Pacioli con un allievo;1495;Olio su tavola;Misure senza cornice: 99x120 cm Misure con cornice: 120,5x139,5x11,7 cm;Tra i dipinti più rappresentativi dell’Umanesimo rinascimentale, questo doppio ritratto rivela una grande complessità di riferimenti alla cultura scientifica e matematica del suo tempo. La provenienza urbinate della tavola è confermata dal manoscritto Vite de’ matematici di Bernardino Baldi, che lo menziona tra le opere presenti nel Palazzo Ducale. La datazione si ricava invece dal cartiglio dipinto. Al centro della scena è Luca Pacioli, insigne matematico e frate francescano, intento a illustrare a un allievo un passaggio degli Elementi di Euclide. Sullo scrittoio si trovano alcuni strumenti e una copia della più nota opera di Pacioli, la Summa de arithmetica, geometria, proportioni et proportionalità, la cui iscrizione sul dorso è stata sciolta in Liber Reverendi Lucae Burgensis o Liber Regularum Lucae Burgensis. Nel giovane elegante alle spalle del frate è stato per lo più riconosciuto Guidobaldo da Montefeltro, figlio di Federico duca di Urbino, e dedicatario della Summa. Nel dipinto figurano due solidi geometrici: a destra un dodecaedro ligneo, ovvero uno dei cinque solidi descritti da Platone nel Timeo, oggetto che Pacioli aveva donato a Guidobaldo durante un soggiorno a Roma nel 1489. In sospensione a sinistra, un rombicubottaedro di cristallo, un solido inventato dallo stesso frate, per metà ripieno d’acqua, sulle cui facce è riflesso per tre volte un edificio architettonico, identificato dai più con il Palazzo Ducale di Urbino, nonché la piccola sagoma di un armigero. L’autore della tavola, che dimostra un’assoluta padronanza della prospettiva e un’estrema perizia pittorica e si firma nel cartiglio, viene tradizionalmente identificato in Jacopo de’ Barbari, grande incisore veneziano e amico di Albrecht Dürer, sebbene sia recentemente emersa una diversa attribuzione al meno conosciuto Jacometto Veneziano.;4 - Jacopo de'Barbari attr._Ritratto di Luca Pacioli_ph.L.Romano_3954
Q 57;Lorenzo Lotto;Ritratto del vescovo Bernardo de'Rossi;1505;Olio su tavola;Misure senza cornice: 54,7x41,3 cm Misure con cornice: 85,5x71x13 cm;"Il dipinto è menzionato nell’inventario dei beni che il committente, Bernardo de’ Rossi, vescovo di Treviso dal 1499 al 1510, redasse mentre era a Venezia nel 1511. Nel 1527 il prelato, primo mecenate del pittore, moriva nella natìa Parma, e i Farnese probabilmente acquistarono dai suoi eredi sia il ritratto che una Sacra Conversazione con san Pietro Martire, dipinta anch’essa da Lotto e tuttora nelle collezioni di Capodimonte. Un’Allegoria del Vizio e della Virtù, oggi alla National Gallery di Washington, di dimensioni pressoché identiche, con lo stesso stemma di famiglia e citata nei beni del de’ Rossi, è stata identificata come sovraccoperta del ritratto, o forse si trattava di un dittico; certamente ne costituiva il commento morale. Sul verso dell’Allegoria un’iscrizione, oggi perduta, riportava i nomi dell’artista e del committente, nonché la data di realizzazione, il 1505. La tavola, seppur opera giovanile del pittore, già dimostra le doti di grande ritrattista per cui Lotto verrà spesso ricercato dai committenti. Guardando ai modelli precedenti di Giovanni Bellini e Alvise Vivarini, realizza un’immagine dettagliata nella resa fisionomica, accentuata dalla forte illuminazione frontale che mette in risalto l’incarnato, arricchendola di una penetrante e moderna indagine psicologica. Lo sguardo dritto verso l’osservatore, le labbra serrate ma pronte ad aprirsi, il pugno chiuso intorno alla pergamena, con l’anello di famiglia in primo piano, restituiscono l’impressione di un uomo risoluto. In passato, quando l’identità dell’effigiato e dell’artista erano state dimenticate, il ritratto fu attribuito a Jacopo de’ Barbari.";5 - Lorenzo Lotto_Ritratto  di Bernardo de Rossi_0750
Q 112;Rosso Fiorentino;Ritratto di giovane;1524-26;Olio su tela;Misure senza cornice: 120x86 cm Misure con cornice: 150x118x14 cm;Un giovane di aggressiva timidezza siede in modo informale sull’orlo di un tavolo, accanto a un camino decorato, mentre la luce che giunge da sinistra ne illumina solo parte del viso e lo sbuffo bianco della camicia merlettata sotto la giubba. L’angolo scelto per la posa lascia intuire un ambiente carico di arazzi e tendaggi, fino al panno anatolico con quadrilobi e rosoni uncinati che prolunga idealmente il ritratto nello spazio reale. A uno sguardo attento, il dipinto rivela almeno tre ritratti: quello del giovane in primo piano, il mascherone scolpito sul camino alla sua sinistra e la figura di cavaliere con corno raffigurata sull’arazzo a parete.  Negli anni precedenti al sacco di Roma, l’artista immagina uno spettatore in grado di cogliere il senso di questa raffinata operazione pittorica, in cui la bellezza idealizzata del giovane si confronta con il volto mostruoso scolpito, ispirato alla tradizione michelangiolesca. Il dipinto, già attribuito ad altri artisti, è stato infine ricondotto all’autore grazie al riconoscimento di uno stile caratterizzato da libertà espressiva e licenze poetiche, come si nota nell’aspetto volutamente incompiuto di alcune parti, tra cui le mani nervose e deformate.  Eseguito negli anni Venti del Cinquecento, il dipinto mostra l’evoluzione dello stile dell’artista alla vigilia della sua partenza per la Francia. Secondo un’ipotesi interpretativa recente, il giovane ritratto potrebbe essere Giampaolo dell’Anguillara, condottiero al servizio del papa e poi di Francesco I di Francia. La tela sarebbe stata iniziata attorno al 1525-1526, forse presso la tenuta di famiglia a Cerveteri, e poi lasciata incompiuta.  Questo capolavoro delle collezioni farnesiane conferma l’importanza del ritratto nella tradizione artistica italiana e il ruolo centrale che continua a occupare nella pinacoteca di Capodimonte.;6 - Q 112 Rosso Fiorentino_Ritratto di giovane seduto con tappeto_ph.Luciano Romano_8414567
Q 111;Parmigianino;Ritratto di Galeazzo Sanvitale;1524;Olio su tavola;Misure senza cornice: 128,5 x 100,5 x 13 cm Misure con cornice: 108 x 80 cm;Seduto su una sedia “savonarola”, il conte Galeazzo Sanvitale si volge con un’accentuata torsione del busto verso l’osservatore. È l’immagine della raffinatezza: indossa una giacca nera alla francese, elegante e ampia, e un berretto scarlatto ornato da una spilla decorativa che copre i suoi capelli castano-dorati, raccolti in una particolare barba riccia. Nella mano guantata tiene una medaglia di bronzo con la cifra “72”, mentre la mano nuda porta un anello d’oro e si appoggia sull’elsa di una spada con impugnatura a conchiglia.  Il dipinto fu realizzato nel 1524, quando l’artista si trovava a Fontanellato. L’armatura lucida, le armi e l’abbigliamento alludono alla condizione di condottiero di Galeazzo, che aveva militato al servizio dei francesi durante le campagne italiane. Anche il suo stesso nome evoca la professione militare, richiamando il termine latino galea, ovvero “elmo”. La medaglia nella sua mano è stata letta come simbolo di cultura e sapienza, forse riferita a questioni astrologiche o a significati ermetici.  Questo ritratto, eseguito quando il conte aveva ventotto anni, riflette l’interesse per le figure eleganti e i dettagli preziosi, propri del gusto aristocratico italiano del Cinquecento.;7 - Parmigianino_Ritratto di Galeazzo Sanvitale_Capodimonte_ph.L.Romano_10948
Q 108;Parmigianino;Ritratto di giovane donna detto “Antea”;1535 ca.;Olio su tela ;Misure senza cornice: 138x86 cm Misure con cornice: 157,5x107,5x8 cm;Considerata tra le immagini emblematiche della “maniera” italiana cinquecentesca, l’Antea racchiude le distorsioni anatomiche e l’emotività sospesa tipiche dell’artista. Apparentemente immobile, all’astratta bellezza e all’immobilità del volto ovale della figura si contrappone la lieve rotazione antioraria del corpo e il leggero spostamento della gamba sinistra sotto la voluminosa gonna. Il braccio destro, sproporzionatamente allargato, sostiene la sontuosa pelliccia di martora o di zibellino drappeggiata sulla spalla, mentre le dita allungate si infilano nella catena d’oro al collo.  L’artista ha evidenziato i dettagli della superficie dell’opera – la lucentezza delle gemme, la brillantezza della seta, la morbidezza della pelliccia – comunicando una dimensione tattile degli oggetti. Il dipinto rappresenta una delle punte più alte delle eccentriche sperimentazioni ottiche di Parmigianino, di cui aveva già dato prova nel celebre Autoritratto allo specchio.  Il nome della giovane donna è ancora ignoto, e nel tempo sono state avanzate varie ipotesi: figlia, amante o serva dell’artista. L’abbigliamento, in particolare lo “zinale” o grembiule ricamato, gli accessori e i sontuosi rubini e perle hanno portato alcuni a pensare che si tratti di una sposa aristocratica dell’Italia settentrionale, mentre altri hanno suggerito che la figura rappresenti un ideale di bellezza petrarchesca.;8 - Q 108 Parmigianino Antea_ph.L.Romano_10938
Q 125;Parmigianino;Lucrezia;1540 circa;Olio su tela ;Misure senza cornice: 68x52 cm Misure con cornice: 82x67x8 cm;L’episodio tragico di Lucrezia si svolse nel VI secolo a.C. durante il regno di Tarquinio il Superbo, l’ultimo re di Roma. Il figlio più giovane del re, Sesto Tarquinio, entrò segretamente nella stanza della matrona romana, minacciando di uccidere lei e il suo servo se non si fosse sottomessa a lui. Sebbene il padre e il marito la credessero innocente, Lucrezia chiese loro di giurare vendetta sul suo onore prima di conficcarsi un pugnale nel cuore. Lo stupro e il suicidio di Lucrezia scatenarono una rivolta che portò alla caduta della tirannia monarchica e all’ascesa della Repubblica.  Parmigianino rappresenta il momento culminante della vicenda: sola, su uno sfondo nero, Lucrezia si conficca un pugnale ingioiellato nel petto, con le labbra aperte in un ultimo sussulto di vita mentre un fiotto di sangue le attraversa le guance. L’artista ritrae la matrona nei suoi ultimi momenti, il tragico destino di una donna costretta a scegliere tra l’onore e la vita.  I toni freddi dell’incarnato e il profilo affilato hanno portato a discutere sull’attribuzione dell’opera, ma un disegno preparatorio relativo alla fibbia raffigurante Diana cacciatrice, dea della castità, che chiude le vesti di Lucrezia, conferma la paternità di Parmigianino. I tessuti cangianti, le forme allungate e le raffinate rappresentazioni della bellezza femminile furono caratteristiche adottate anche dai suoi seguaci a Parma, dimostrando l’importanza dell’artista nel corso del Cinquecento e nel collezionismo europeo dell’età moderna.;9 - Parmigianino_Lucrezia_Capodimonte_ph.L.Romano__3676
Q 122;Girolamo Mazzola Bedoli;Santa Chiara;1535-1540 circa;Olio su tela;Misure senza cornice: 96x73 cm Misure con cornice: 116x95,50 cm;L’opera fu realizzata dall’artista per l’altare della chiesa di Santa Maria Annunziata a Viadana, in provincia di Mantova, e venduta il 27 agosto 1713 al duca di Parma Francesco Farnese. Entrò così nelle collezioni farnesiane come opera attribuita al Parmigianino, di cui l’autore era stato allievo e parente, avendo sposato la cugina del maestro. Nel 1734 la pala d’altare venne trasferita dal Palazzo Ducale di Parma a Napoli, dove fu sempre catalogata come opera del Parmigianino. Solo tra la fine del Settecento e l’inizio dell’Ottocento l’attribuzione venne corretta e l’opera venne riconosciuta come realizzata dal suo vero autore.  La scena sacra è dominata da una luce intima che definisce le pose plastiche dei protagonisti, enfatizzando i gesti e le espressioni dei volti e sottolineando l’ambientazione notturna. La resa degli oggetti di scena, dei panneggi e dei drappi mostra chiaramente l’influenza della maniera di Giulio Romano, che l’artista poté studiare durante il suo soggiorno a Mantova negli anni Cinquanta del Cinquecento. Questi elementi permettono di collocare l’opera nel periodo maturo dell’autore.;10 - Girolamo Mazzoli Bedoli_Santa Chiara_ph.Luciano Romano_0620
